EntFile_src,EntLine_src,EntName_src,EntKind_src,EntType_src,EntID_src,RefFile,RefLine,RefKind,RefType,EntFile_target,EntLine_target,EntName_target,EntKind_target,EntType_target,EntID_target,Is_Infringed,is37
/home/ks-turtle/Desktop/src/javax/swing/plaf/basic/BasicComboBoxUI.java,49,javax.swing.plaf.basic.BasicComboBoxUI,Type,Java Class Type Public Member,90,/home/ks-turtle/Desktop/src/javax/swing/plaf/basic/BasicComboBoxUI.java,49,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/javax/swing/plaf/ComboBoxUI.java,19,javax.swing.plaf.ComboBoxUI,Type,Java Abstract Class Type Public Member,28979,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/JComponent.java,157,javax.swing.JComponent,Type,Java Abstract Class Type Public Member,94,/home/ks-turtle/Desktop/src/javax/swing/JComponent.java,157,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/awt/Container.java,72,java.awt.Container,Type,Java Class Type Public Member,106,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Dimension.java,36,java.awt.Dimension,Type,Java Class Type Public Member,95,/home/ks-turtle/Desktop/src/java/awt/Dimension.java,36,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/awt/geom/Dimension2D.java,22,java.awt.geom.Dimension2D,Type,Java Abstract Class Type Public Member,21815,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Rectangle.java,41,java.awt.Rectangle,Type,Java Class Type Public Member,101,/home/ks-turtle/Desktop/src/java/awt/Rectangle.java,41,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/awt/geom/Rectangle2D.java,23,java.awt.geom.Rectangle2D,Type,Java Abstract Class Type Public Member,4059,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/JComboBox.java,62,javax.swing.JComboBox,Type,Java Class Type Public Member,105,/home/ks-turtle/Desktop/src/javax/swing/JComboBox.java,62,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/javax/swing/JComponent.java,157,javax.swing.JComponent,Type,Java Abstract Class Type Public Member,94,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Container.java,72,java.awt.Container,Type,Java Class Type Public Member,106,/home/ks-turtle/Desktop/src/java/awt/Container.java,72,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/awt/Component.java,155,java.awt.Component,Type,Java Abstract Class Type Public Member,98,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/CellRendererPane.java,49,javax.swing.CellRendererPane,Type,Java Class Type Public Member,108,/home/ks-turtle/Desktop/src/javax/swing/CellRendererPane.java,49,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/awt/Container.java,72,java.awt.Container,Type,Java Class Type Public Member,106,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/plaf/basic/BasicComboPopup.java,46,javax.swing.plaf.basic.BasicComboPopup,Type,Java Class Type Public Member,123,/home/ks-turtle/Desktop/src/javax/swing/plaf/basic/BasicComboPopup.java,46,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/javax/swing/JPopupMenu.java,61,javax.swing.JPopupMenu,Type,Java Class Type Public Member,8519,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/plaf/basic/BasicComboPopup.java,678,javax.swing.plaf.basic.BasicComboPopup.InvocationKeyHandler,Type,Java Class Type Public Member,126,/home/ks-turtle/Desktop/src/javax/swing/plaf/basic/BasicComboPopup.java,678,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/awt/event/KeyAdapter.java,37,java.awt.event.KeyAdapter,Type,Java Abstract Class Type Public Member,195362,no-match,0
/home/ks-turtle/Desktop/src/java/util/Vector.java,61,java.util.Vector,Type,Java Generic Class Type Public Member,207,/home/ks-turtle/Desktop/src/java/util/Vector.java,62,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/util/AbstractList.java,56,java.util.AbstractList,Type,Java Abstract Generic Class Type Public Member,12385,no-match,0
/home/ks-turtle/Desktop/src/java/io/DataOutputStream.java,21,java.io.DataOutputStream,Type,Java Class Type Public Member,246,/home/ks-turtle/Desktop/src/java/io/DataOutputStream.java,21,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/io/FilterOutputStream.java,28,java.io.FilterOutputStream,Type,Java Class Type Public Member,7432,match,0
/home/ks-turtle/Desktop/src/java/io/IOException.java,22,java.io.IOException,Type,Java Class Type Public Member,251,/home/ks-turtle/Desktop/src/java/io/IOException.java,22,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/lang/Exception.java,20,java.lang.Exception,Type,Java Class Type Public Member,3062,match,0
/home/ks-turtle/Desktop/src/java/io/DataInputStream.java,22,java.io.DataInputStream,Type,Java Class Type Public Member,252,/home/ks-turtle/Desktop/src/java/io/DataInputStream.java,22,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/io/FilterInputStream.java,29,java.io.FilterInputStream,Type,Java Class Type Public Member,31140,match,0
/home/ks-turtle/Desktop/src/java/util/ArrayList.java,83,java.util.ArrayList,Type,Java Generic Class Type Public Member,296,/home/ks-turtle/Desktop/src/java/util/ArrayList.java,83,Couple,Java Extend Couple,/home/ks-turtle/Desktop/src/java/util/AbstractList.java,56,java.util.AbstractList,Type,Java Abstract Generic Class Type Public Member,12385,no-match,0
